Nr.,INVESTsymbol,Description,Instrument Subtype,Listedcurrency,"Min.contract
size",Contractstep,"MaximumContract
Size",Min.Margin,"Trading session, EET",,yahoo ticker,yahoo currency
1,ACWI,LYXOR MSCI ALL COUNTRY WORLD UCITS ETF,France (Euronext) ETF,EUR,1,1,10000,100%,10:01 - 18:30 Mon -Fri,,ACWI,USD
2,AEEM,Amundi MSCI Emerging Markets UCITS ETF,France (Euronext) ETF,EUR,1,1,10000,100%,10:01 - 18:30 Mon -Fri,,AEEM.PA,EUR
3,AUT,Lyxor STOXX Europe 600 Automobiles & Parts UCITS ETF,France (Euronext) ETF,EUR,1,1,10000,100%,10:01 - 18:30 Mon -Fri,,,
4,BNK,Lyxor STOXX European 600 Banks UCITS ETF,France (Euronext) ETF,EUR,1,1,10000,100%,10:01 - 18:30 Mon -Fri,,,
5,BNKE,LYXOR EURO STOXX BANKS DR UCITS ETF,France (Euronext) ETF,EUR,1,1,10000,100%,10:01 - 18:30 Mon -Fri,,BNKE.PA,EUR
6,BRE,LYXOR STOXX EUROPE 600 BASIC RESOURCES UCITS ETF,France (Euronext) ETF,EUR,1,1,10000,100%,10:01 - 18:30 Mon -Fri,,,
7,BSXP,Lyxor EURO STOXX 50 Daily Short UCITS ETF,France (Euronext) ETF,EUR,1,1,10000,100%,10:01 - 18:30 Mon -Fri,,,
8,BX4,Lyxor CAC 40 Daily Double Short UCITS ETF,France (Euronext) ETF,EUR,1,1,10000,100%,10:01 - 18:30 Mon -Fri,,,
9,BXX,LYXOR EURO STOXX 50 DAILY DOUBLE SHORT UCITS ETF,France (Euronext) ETF,EUR,1,1,10000,100%,10:01 - 18:30 Mon -Fri,,,
10,C50,Amundi Euro Stoxx 50 UCITS ETF,France (Euronext) ETF,EUR,1,1,10000,100%,10:01 - 18:30 Mon -Fri,,,
11,C5E,Amundi Stoxx Europe 50 UCITS ETF,France (Euronext) ETF,EUR,1,1,10000,100%,10:01 - 18:30 Mon -Fri,,,
12,C5S2,Amundi Short Euro Stoxx 50 Daily UCITS ETF,France (Euronext) ETF,EUR,1,1,10000,100%,10:01 - 18:30 Mon -Fri,,,
13,CAC,Lyxor CAC 40 DR UCITS ETF - Dist,France (Euronext) ETF,EUR,1,1,10000,100%,10:01 - 18:30 Mon -Fri,,,
14,CEUG,Amundi MSCI Europe UCITS ETF,France (Euronext) ETF,EUR,1,1,10000,100%,10:01 - 18:30 Mon -Fri,,,
15,CMU,Amundi MSCI EMU UCITS ETF,France (Euronext) ETF,EUR,1,1,10000,100%,10:01 - 18:30 Mon -Fri,,,
16,CS1,Amundi MSCI Spain UCITS ETF,France (Euronext) ETF,EUR,1,1,10000,100%,10:01 - 18:30 Mon -Fri,,,
17,CST,Lyxor UCITS ETF STOXX Europe 600 Construction & Materials,France (Euronext) ETF,EUR,1,1,10000,100%,10:01 - 18:30 Mon -Fri,,,
18,CU1,Amundi MSCI Uk UCITS ETF,France (Euronext) ETF,EUR,1,1,10000,100%,10:01 - 18:30 Mon -Fri,,,
19,DJE,Lyxor Dow Jones Industrial Average UCITS ETF - Dist,France (Euronext) ETF,EUR,1,1,10000,100%,10:01 - 18:30 Mon -Fri,,,
20,DSD,LYXOR DAILY SHORTDAX X2 UCITS ETF,France (Euronext) ETF,EUR,1,1,10000,100%,10:01 - 18:30 Mon -Fri,,,
21,ERO,SPDR MSCI Europe UCITS ETF,France (Euronext) ETF,EUR,1,1,10000,100%,10:01 - 18:30 Mon -Fri,,,
22,FIN,Lyxor STOXX Europe 600 Financial Services UCITS ETF,France (Euronext) ETF,EUR,1,1,10000,100%,10:01 - 18:30 Mon -Fri,,,
